Company,Industry,Sector
Massive Entertainment - A Ubisoft Studio,Computer Games,"Technology, Information and Media"
Kurt Geiger,Retail,Retail
GANNI,Retail Apparel and Fashion,Retail
Ennismore,Hospitality,Accomodation Services
Easygenerator,E-Learning Providers,Education
B&Q,Retail,Retail
Jet2.com and Jet2holidays,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
KfW,Banking,Financial Services
Nando's UK & IRE,Restaurants,Accomodation Services
CAE Parc Aviation,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
COYA Restaurant & Pisco Bar,Food and Beverage Services,Accomodation Services
Harvey Nichols,Retail,Retail
Heathrow,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
ECCO,Retail Apparel and Fashion,Retail
Trade Republic,Banking,Financial Services
NatWest,Banking,Financial Services
dm-drogerie markt Deutschland,Retail,Retail
Carlson Rezidor Hotel Group,Hospitality,Accomodation Services
Ted Baker,Retail Apparel and Fashion,Retail
Eurowings,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Audi UK,Motor Vehicle Manufacturing,Manufacturing
BAFTA,Broadcast Media Production and Distribution,"Technology, Information and Media"
Sweaty Betty,Retail,Retail
Pret A Manger,Retail,Retail
Radisson,Hospitality,Accomodation Services
Kerten Hospitality,Hospitality,Accomodation Services
Debenhams,Retail,Retail
Greystar (International),Real Estate,Real Estate and Equipment Rental Services
The White Company,Retail,Retail
British Gas,Utilities,Utilities
Lufthansa Cargo,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
SkyTeam,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
KTM AG,Motor Vehicle Manufacturing,Manufacturing
Lidl International,Retail,Retail
Picnic Technologies,Retail,Retail
MATCHES,Retail,Retail
Maxion Wheels,Motor Vehicle Manufacturing,Manufacturing
Macdonald & Company,Real Estate,Real Estate and Equipment Rental Services
British Red Cross,Civic and Social Organizations,Consumer Services
HEMA,Retail,Retail
Jellyfish Pictures | Certified B Corp,Entertainment Providers,Entertainment Providers
Currys plc,Retail,Retail
PrettyLittleThing.com,Retail Apparel and Fashion,Retail
MUBI,Entertainment Providers,Entertainment Providers
Guerrilla,Computer Games,"Technology, Information and Media"
La Petite Maison (LPM),Hospitality,Accomodation Services
Deutsche Welle,Broadcast Media Production and Distribution,"Technology, Information and Media"
DR - Danmarks Radio,Broadcast Media Production and Distribution,"Technology, Information and Media"
Royal Schiphol Group,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Gousto,Food and Beverage Services,Accomodation Services
ARKET,Retail,Retail
Axis Studios,Entertainment,Entertainment Providers
Fortum,Utilities,Utilities
Zuma Restaurants,Restaurants,Accomodation Services
BNP Paribas Fortis,Banking,Financial Services
VRT,Broadcast Media Production and Distribution,"Technology, Information and Media"
Mercedes AMG High Performance Powertrains,Motor Vehicle Manufacturing,Manufacturing
Global,Broadcast Media Production and Distribution,"Technology, Information and Media"
TextilWirtschaft,Retail Apparel and Fashion,Retail
Flight Jobs,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Superdry,Retail Apparel and Fashion,Retail
The Very Group,Retail,Retail
Refresco,Food and Beverage Services,Accomodation Services
EnBW Energie Baden-Württemberg AG,Utilities,Utilities
Sumo Digital Ltd,Computer Games,"Technology, Information and Media"
Thames Water,Utilities,Utilities
Metro Bank (UK),Banking,Financial Services
Webasto Group,Motor Vehicle Manufacturing,Manufacturing
Porsche Cars GB Ltd,Motor Vehicle Manufacturing,Manufacturing
Missguided,Retail,Retail
ClearBank,Banking,Financial Services
Cobalt Recruitment,Real Estate,Real Estate and Equipment Rental Services
